JW_ID	ECK number	B number	Gene name K-12	Locus name K-12	Synonyms of locus names K-12	Solubility(%)	Yield(uM)	Yield(ug/ml)	Minus Sol	TF Sol	GroE Sol	KJE Sol	Minus(uM)	TF(uM)	GroE(uM)	KJE(uM)	Minus(ug/ml)	TF(ug/ml)	GroE(ug/ml)	KJE(ug/ml)	Calculated MW(kDa)	Calculated pI	Type of gene product	Gene product description	Cell location	Structure (PDB) id	SCOP assignment
JW2016	ECK2025	b2031	wbbL	wbbL_1	yefJ	55	0.5	10													18.2	7	su	lipopolysaccharide biosynthesis protein, N-ter fragment (pseudogene)	Cytoplasmic		
JW2046	ECK2055	b2061	wzb	wzb		25	1.7	28	20.33	21.43	69.56	65.82	3.694	4.192	4.037	3.772	61.68	69.99	67.41	62.98	16.696	7.99	e	protein-tyrosine phosphatase	Cytoplasmic		52788; Phosphotyrosine protein phosphatases I
JW2056	ECK2065	b2071	yegJ	yegJ		79	1.3	23													17.4	6.6	o	predicted protein	Periplasmic		
JW5340	ECK2083	b2087	gatR	gatR_1		24	1.1	18	25.66	32.47	86.92	64.81	1.481	1.203	1.869	1.471	23.45	19.04	29.58	23.29	15.832	7.94	su	DNA-binding transcriptional regulator, N-ter fragment (pseudogene)	Cytoplasmic		
JW2074	ECK2083	b2090	gatR	gatR_2		91	4.4	54													12.4	9.9	su	DNA-binding transcriptional regulator, C-ter fragment (pseudogene)	Cytoplasmic		
JW2078	ECK2087	b2094	gatA	gatA		72	1.3	16													12.2	6.8	t	galactitol-specific enzyme IIA component of PTS	Cytoplasmic		
JW2081	ECK2087	b2094	gatA	gatA		14	2.3	26	15.1	54.32	62.95	50.02	2.457	2.411	2.616	2.479	28.52	27.98	30.35	28.77	11.605	7.45	t	galactitol-specific enzyme IIA component of PTS	Cytoplasmic		
JW2995	ECK3018	b3027	ygiZ	ygiZ		27	1.2	15													13.2	8.2	pm	conserved inner membrane protein	Integral Membrane Protein		
JW5426	ECK2651	b2657	yqaC	yqaC		8	1.8	41	10.66	28.24	48.83	80.48	2.285	2.064	2.083	1.748	52.26	47.2	47.64	39.99	22.873	8.88	su	conserved protein (pseudogene)	Cytoplasmic		51445; (Trans)glycosidases
JW1591	ECK1594	b1599	mdtI	mdtI	mtdI -!- ydgE	15	3.9	45													11.7	11.1	t	multidrug efflux system transporter	Integral Membrane Protein		
JW2990	ECK3013	b3022	ygiU	ygiU		74	2	22													11.2	9.6	pe	predicted cyanide hydratase	Cytoplasmic		
JW0222	ECK0233	b0232	yafN	yafN		57	1.5	17													11.2	7.4	pf	predicted antitoxin of the YafO-YafN toxin-antitoxin system	Cytoplasmic		
JW3749	ECK3768	b3776	yifO	yifO		10	4.4	46	9.9	20.01	14.37	56.61	4.611	3.663	3.928	4.27	49.22	39.1	41.93	45.58	10.674	11.56	o	conserved protein	Cytoplasmic		
JW5044	ECK0325	b0327	yahM	yahM		14	3.8	34	19.61	58.88	65.6	81.86	2.311	2.119	2.056	2.349	20.54	18.84	18.28	20.88	8.889	11.22	o	predicted protein	Cytoplasmic		
JW2373	ECK2372	b2376	ypdI	ypdI		23	1.2	12													10.2	9.7	lp	predicted lipoprotein involved in colanic acid biosynthesis	Outer Membrane Lipoprotein		
JW0225	ECK0236	b0235	ykfJ	ykfJ		17	3.4	34	12.89	42.13	39.58	50.95	4.371	3.082	3.619	3.989	42.9	30.25	35.52	39.15	9.814	10.61	o	conserved protein	Cytoplasmic		
JW2590	ECK2606	b2609	rpsP	rpsP		109	3.8	35													9.2	11.3	s	30S ribosomal subunit protein S16	Cytoplasmic	1P87	54565; Ribosomal protein S16
JW2648	ECK2667	b2673	nrdH	nrdH	ygaN	103	4.7	43													9.1	8.7	pc	glutaredoxin-like protein	Cytoplasmic	1H75	52833; Thioredoxin-like
JW1635	ECK1639	b1643	ydhI	ydhI		44	1.6	15													8.9	8.7	pm	predicted inner membrane protein	Integral Membrane Protein		
JW5596	ECK3785	b4481	rffT	rffT	rff -!- wecF -!- yifM	48	0.5	20													40.6	7.9	e	TDP-Fuc4NAc:lipidII transferase	Cytoplasmic		
JW5080	ECK0548	b4510	rzoD	rzoD		147	0.5	3													6.7	10.5	h	DLP12 prophage; predicted lipoprotein	Outer Membrane Lipoprotein		
JW1815	ECK1824	b1826	yobG	yobG		54	3	16													5.5	8.4	o	predicted protein	Periplasmic		
JW5213	ECK1361	b4528	rzoR	rzoR		88	0.6	4													6.8	9.4	h	Rac prophage; predicted lipoprotein	Outer Membrane Lipoprotein		
JW2096	ECK2102	b2109	yehB	yehB		6	0.2	21													92.2	6.1	pm	predicted outer membrane protein	Outer Membrane B-barrel protein		
JW2105	ECK2109	b2118	yehI	yehI		17	0	5	1.11	2.99	13.2	66.11	0.024	0.038	0.03	0.027	3.34	5.29	4.09	3.66	137.926	6.44	o	conserved protein	Cytoplasmic		
JW2108	ECK2112	b2120	yehM	yehM	yehN -!- yehO	10	0.1	9	14.68	64.23	72.13	101.42	0.039	0.048	0.056	0.073	3.26	3.99	4.69	6.08	83.299	5.82	o	predicted protein	Cytoplasmic		
JW2120	ECK2125	b2132	bglX	bglX	glh -!- yohA	31	0.7	57													83.4	6.3	e	beta-D-glucoside glucohydrolase, periplasmic	Periplasmic		51445; (Trans)glycosidases 52279; Beta-D-glucan exohydrolase, C-terminal domain
JW5839	ECK2184	b2190	yejO	yejO		30	0.1	8													88.4	4.6	pt	predicted autotransporter outer membrane protein	Cytoplasmic		51126; Pectin lyase-like
JW2204	ECK2209	b2216	rcsD	rcsD	yojN -!- yojP -!- yojQ	24	0.1	12													100.2	5.1	r	phosphotransfer intermediate protein in two-component regulatory system with RcsBC	Membrane Anchored		47226; Histidine-containing phosphotransfer domain, HPT domain 55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
JW2225	ECK2223	b2231	gyrA	gyrA	hisW -!- nalA -!- parD -!- nfxA -!- norA	49	0.3	32													96.8	5	e	DNA gyrase (type II topoisomerase), subunit A	Cytoplasmic		56719; Type II DNA topoisomerase
JW2227	ECK2225	b2233	yfaL	yfaL	yfaF -!- yfaJ -!- yfaK	52	0.1	16													130.9	3.9	f	adhesin	Periplasmic		51126; Pectin lyase-like
JW2228	ECK2226	b2234	nrdA	nrdA	dnaF	63	0.3	24													85.7	6.1	e	ribonucleoside diphosphate reductase 1, alpha subunit	Cytoplasmic	3R1R	48168; R1 subunit of ribonucleotide reductase, N-terminal domain 51998; PFL-like glycyl radical enzymes
JW2278	ECK2277	b2283	nuoG	nuoG		18	0.5	48	6.22	19.46	26.64	64.71	0.323	0.415	0.568	0.617	32.43	41.64	57.07	61.97	100.438	6.09	c	NADH:ubiquinone oxidoreductase, chain G	Cytoplasmic		50692; ADC-like 53706; Formate dehydrogenase/DMSO reductase, domains 1-3 54292; 2Fe-2S ferredoxin-like 54862; 4Fe-4S ferredoxins
JW2380	ECK2379	b2383	ypdD	ypdD		39	0.5	44													92	5.3	pt	fused predicted PTS enzymes Hpr component enzyme I component enzyme IIA component	Cytoplasmic		47831; Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain 51621; Phosphoenolpyruvate/pyruvate domain 52009; Histidine-containing phosphotransfer domain, HPT domain 55594; HPr-like 55804; Phoshotransf
JW2447	ECK2458	b2463	maeB	maeB	ypfF	81	0.7	56													82.3	5.6	pe	fused malic enzyme predicted oxidoreductase predicted phosphotransacetylase	Cytoplasmic		51735; NAD(P)-binding Rossmann-fold domains 53223; Aminoacid dehydrogenase-like, N-terminal domain
JW5405	ECK2546	b2549	yphG	yphG		6	0.1	6	4.87	10.12	80.71	100.25	0.045	0.053	0.048	0.043	5.6	6.61	5.88	5.26	123.698	5.86	d	conserved protein	Cytoplasmic		48452; TPR-like
JW2568	ECK2582	b2584	yfiQ	yfiQ		8	0.4	41	4.94	9.98	21.18	91.93	0.238	0.379	0.317	0.279	23.3	37.11	31.03	27.35	97.884	6.26	pe	fused predicted acyl-CoA synthetase NAD(P)-binding subunit ATP-binding subunit	Cytoplasmic		51735; NAD(P)-binding Rossmann-fold domains 52210; Succinyl-CoA synthetase domains 55729; Acyl-CoA N-acyltransferases (Nat) 56059; Glutathione synthetase ATP-binding domain-like
JW2573	ECK2590	b2592	clpB	clpB	htpM	75	1.5	140													95.5	5.5	f	protein disaggregation chaperone	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2608	ECK2623	b2627	yfjK	yfjK		46	0.1	8													83	6.3	h	CP4-57 prophage; conserved protein	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2667	ECK2692	b2697	alaS	alaS	act -!- ala-act -!- lovB -!- ala-a	58	0.2	22													95.9	5.7	e	alanyl-tRNA synthetase	Cytoplasmic		55186; Threonyl-tRNA synthetase (ThrRS), second 'additional' domain
JW5433	ECK2707	b2712	hypF	hypF	hydA	74	0	3													82	6.3	e	carbamoyl phosphate phosphatase and maturation protein for [NiFe] hydrogenases	Cytoplasmic		54975; Acylphosphatase 55821; YrdC/RibB 57850; RING finger domain, C3HC4
JW2703	ECK2728	b2733	mutS	mutS	fdv -!- ant -!- plm	42	0.3	28													95.1	5.6	e	methyl-directed mismatch repair protein	Cytoplasmic		48334; DNA repair protein MutS, domain III 52540; P-loop containing nucleotide triphosphate hydrolases 53150; DNA repair protein MutS, domain II 55271; DNA repair protein MutS, domain I
JW2755	ECK2778	b2784	relA	relA	RC	76	0.3	25													83.8	6.6	e	(p)ppGpp synthetase I/GTP pyrophosphokinase	Cytoplasmic		55021; Regulatory domain in the aminoacid metabolism 55174; Alpha-L RNA-binding motif
JW2757	ECK2780	b2786	barA	barA		56	0.1	10													102.3	5.6	r	hybrid sensory histidine kinase, in two-component regulatory system with UvrY	Integral Membrane Protein		47384; Homodimeric domain of signal transducing histidine kinase 55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase 47226; Histidine-containing phosphotransfer domain, HPT domain 52172; CheY-like
JW2789	ECK2817	b2821	ptr	ptr	ptrA	66	0.2	16													107.6	6.1	e	protease III	Periplasmic		63411; LuxS/MPP-like metallohydrolase
JW2790	ECK2818	b2822	recC	recC		6	0.1	11	24.43	59.35	43.34	91.05	0.047	0.04	0.055	0.076	6.01	5.13	7.07	9.72	128.67	4.75	e	exonuclease V (RecBCD complex), gamma chain	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2797	ECK2825	b2829	ptsP	ptsP	ygdF -!- ygdO	9	0.6	50	25.65	40.32	54.7	101.51	0.234	0.357	0.32	0.266	19.61	29.86	26.74	22.24	83.617	5.88	t	fused PEP-protein phosphotransferase (enzyme I) of PTS system	Cytoplasmic		55781; GAF domain 47831; Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain 51621; Phosphoenolpyruvate/pyruvate domain 52009; Histidine-containing phosphotransfer domain, HPT domain
JW2804	ECK2832	b2836	aas	aas		7	0.7	53													80.6	9.8	e	fused 2-acylglycerophospho-ethanolamine acyl transferase acyl-acyl carrier protein synthetase	Integral Membrane Protein		56801; Firefly luciferase-like
JW5462	ECK2862	b2866	xdhA	xdhA	ygeS	12	0.6	47	12.58	29.44	35.88	80.25	0.311	0.409	0.525	0.364	25.26	33.21	42.66	29.54	81.236	6.19	e	xanthine dehydrogenase, molybdenum binding subunit	Cytoplasmic		54665; CO dehydrogenase molybdoprotein N-domain-like 56003; Molybdemum cofactor-binding domain
JW2849	ECK2877	b2881	xdhD	xdhD	ygfN	37	0.1	10													103.4	5.7	pe	fused predicted xanthine/hypoxanthine oxidase, molybdopterin-binding subunit Fe-S binding subunit	Cytoplasmic		54292; 2Fe-2S ferredoxin-like
JW2871	ECK2898	b2903	gcvP	gcvP		22	0.5	48	29.4	61.78	61.39	109.15	0.194	0.195	0.174	0.181	20.19	20.36	18.18	18.91	104.262	5.83	e	glycine decarboxylase, PLP-dependent, subunit (protein P) of glycine cleavage complex	Cytoplasmic		53383; PLP-dependent transferases
JW5482	ECK2960	b2965	speC	speC		3	0.6	47	4.21	9.89	53.52	65.31	0.343	0.379	0.324	0.345	27.24	30.05	25.69	27.34	79.331	5.93	e	ornithine decarboxylase, constitutive	Cytoplasmic		53383; PLP-dependent transferases 55904; Ornithine decarboxylase C-terminal domain
JW2943	ECK2970	b2976	glcB	glcB	glc	49	1.2	94													80.4	6.1	e	malate synthase G	Cytoplasmic	1P7T	51645; Malate synthase G
JW2987	ECK3010	b3019	parC	parC		18	0.2	15	27.29	67.93	30.65	74.17	0.144	0.189	0.161	0.193	12.09	15.87	13.45	16.15	83.743	6.66	e	DNA topoisomerase IV, subunit A	Cytoplasmic		56719; Type II DNA topoisomerase
JW3025	ECK3043	b3053	glnE	glnE		57	0.1	8													108.3	5	e	fused deadenylyltransferase adenylyltransferase for glutamine synthetase	Cytoplasmic		
JW5511	ECK3066	b3076	ebgA	ebgA		22	0.1	8	18.62	25.76	28.72	93.71	0.043	0.053	0.055	0.048	5.03	6.29	6.53	5.62	117.742	5.38	e	cryptic beta-D-galactosidase, alpha subunit	Cytoplasmic		49303; beta-Galactosidase/glucuronidase domain 49785; Galactose-binding domain-like 51445; (Trans)glycosidases
JW3051	ECK3070	b3080	ygjK	ygjK		22	0.6	53													88.2	6.2	pe	predicted glycosyl hydrolase	Periplasmic		
JW5522	ECK3103	b3114	tdcE	tdcE	yhaS	17	0.5	44	21.35	28.52	16.18	71.89	0.328	0.447	0.79	0.6	28.13	38.38	67.79	51.48	85.837	5.75	e	pyruvate formate-lyase 4/2-ketobutyrate formate-lyase	Cytoplasmic		51998; PFL-like glycyl radical enzymes
JW2101	ECK2107	b2114	metG	metG		50	1.9	148													76.2	5.9	e	methionyl-tRNA synthetase	Cytoplasmic	1F4L	47323; Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases 50249; Nucleic acid-binding proteins 52374; Nucleotidylyl transferase 57770; Methionyl-tRNA synthetase (MetRS), Zn-domain
JW2110	ECK2114	b2122	yehQ	yehQ		12	0.6	41	13.38	34.29	46.32	141.31	0.419	0.37	0.387	0.488	28.35	25	26.17	32.99	67.657	6.24	d	predicted protein	Cytoplasmic		
JW5353	ECK2118	b2126	yehU	yehU		2	0.9	59													62	8.6	pr	predicted sensory kinase in two-component system with YehT	Integral Membrane Protein		55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
JW2121	ECK2126	b2133	dld	dld	ldh	79	0.8	55													64.6	6.5	e	D-lactate dehydrogenase, FAD-binding, NADH independent	Cytoplasmic	1F0X	55103; FAD-linked oxidases, C-terminal domain 56176; FAD-binding domain
JW2142	ECK2148	b2155	cirA	cirA	feuA -!- cir	47	0.4	28													73.8	5.3	m	ferric iron-catecholate outer membrane transporter	Outer Membrane B-barrel protein		56935; Porins
JW2154	ECK2160	b2167	fruA	fruA	ptsF	7	1.7	100													57.5	9.2	t	fused fructose-specific PTS enzyme IIB'BC components	Integral Membrane Protein		
JW2165	ECK2171	b2177	yejA	yejA		20	0.2	15													69.6	9.3	pt	predicted oligopeptide transporter subunit periplasmic-binding component of ABC superfamily	Periplasmic		53850; Periplasmic binding protein-like II
JW2172	ECK2178	b2184	yejH	yejH	yejI -!- yejJ	26	1.1	73	44.98	58.2	80.51	109.4	0.596	0.634	0.563	0.531	39.53	42.08	37.38	35.22	66.36	7.71	pe	predicted ATP-dependet helicase	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2198	ECK2202	b2210	mqo	mqo	yojH	18	1	59													60.2	7.6	e	malate dehydrogenase, FAD/NAD(P)-binding domain	Periplasmic		51905; FAD/NAD(P)-binding domain
JW2199	ECK2203	b2211	yojI	yojI	yojJ	18	0.3	19													61.5	7.6	pt	fused predicted multidrug transport subunits membrane component and ATP-binding component of ABC superfamily	Integral Membrane Protein		52540; P-loop containing nucleotide triphosphate hydrolases
JW2213	ECK2212	b2219	atoS	atoS		27	0.1	5													67.7	6.3	r	sensory histidine kinase in two-component regulatory system with AtoC	Integral Membrane Protein		47384; Homodimeric domain of signal transducing histidine kinase 55785; PYP-like sensor domain 55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
JW2220	ECK2219	b2226	yfaQ	yfaQ		9	0.8	49													61.4	8.3	o	predicted protein	Periplasmic		
JW2224	ECK2222	b2230	yfaA	yfaA	pufY	90	0.1	7													62.6	5.8	o	predicted protein	Periplasmic		
JW2235	ECK2233	b2241	glpA	glpA		6	2.7	158	4.01	10.49	47.01	74.89	1.149	1.026	1.009	0.893	67.67	60.43	59.41	52.62	58.899	6.61	e	sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit, FAD/NAD(P)-binding	Cytoplasmic		51905; FAD/NAD(P)-binding domain 54373; FAD-linked reductases, C-terminal domain
JW2249	ECK2248	b2255	yfbG	yfbG	arnA -!- pmrI -!- SAF	3	0.4	26	6.49	17.84	65.44	114.24	0.176	0.223	0.192	0.18	13.07	16.52	14.25	13.37	74.223	6.68	e	fused UDP-L-Ara4N formyltransferase UDP-GlcA C-4'-decarboxylase	Cytoplasmic		50486; FMT C-terminal domain-like 53328; Formyltransferase 51735; NAD(P)-binding Rossmann-fold domains
JW5374	ECK2258	b2264	menD	menD		4	0.9	53	9.95	22.82	83.32	85.86	0.435	0.5	0.507	0.499	26.66	30.64	31.11	30.58	61.307	6.46	e	bifunctional 2-oxoglutarate decarboxylase SHCHC synthase	Cytoplasmic		52518; Thiamin diphosphate-binding fold (THDP-binding)
JW2265	ECK2264	b2270	yfbK	yfbK		49	0.8	49													63.6	6.5	d	conserved protein	Membrane Lipoprotein		53300; Integrin A (or I) domain
JW2294	ECK2291	b2297	pta	pta		54	1.2	96													77.1	5.6	e	phosphate acetyltransferase	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2309	ECK2306	b2312	purF	purF	adeub -!- purC -!- ade(ub)	16	1.4	76	31.77	49.51	75.45	83.81	0.582	0.719	0.861	0.777	32.81	40.56	48.59	43.85	56.42	5.73	e	amidophosphoribosyltransferase	Cytoplasmic	1ECG	53271; PRTase-like 56235; N-terminal nucleophile aminohydrolases (Ntn hydrolases)
JW5380	ECK2318	b2324	trmC	trmC	mnmC -!- yfcK	52	0.4	30													74.3	5.8	e	fused 5-methylaminomethyl-2-thiouridine forming enzyme methyltransferase FAD-dependent demodification enzyme	Cytoplasmic		51971; Nucleotide-binding domain
JW2335	ECK2332	b2338	yfcU	yfcU		48	0.5	35													65.2	4.8	pf	predicted export usher protein	Periplasmic		
JW2338	ECK2335	b2341	yfcX	yfcX	fadJ	16	0.5	36	8.4	16.83	35.26	54.42	0.67	0.675	0.853	0.679	51.6	52.01	65.7	52.29	77.006	9.14	e	fused enoyl-CoA hydratase-!-epimerase-!-isomerase 3-hydroxyacyl-CoA dehydrogenase, subunit of anaerobic fatty acid oxidation complex	Cytoplasmic		52096; ClpP/crotonase 48179; 6-phosphogluconate dehydrogenase C-terminal domain-like 51735; NAD(P)-binding Rossmann-fold domains 52096; ClpP/crotonase
JW2370	ECK2369	b2373	oxc	oxc	yfdU	22	1.8	107	25.36	43.83	61.85	90.9	0.96	0.979	0.991	1.131	58.09	59.27	59.97	68.45	60.513	6.13	pe	predicted oxalyl-CoA decarboxylase	Cytoplasmic		52467; DHS-like NAD/FAD-binding domain 52518; Thiamin diphosphate-binding fold (THDP-binding)
JW2403	ECK2406	b2411	ligA	ligA	dnaL -!- lig -!- pdeC -!- lop	59	0.1	5													73.5	5.6	e	DNA ligase, NAD(+)-dependent	Cytoplasmic		47781; RuvA domain 2-like 50249; Nucleic acid-binding proteins 52113; BRCT domain 56091; DNA ligase/mRNA capping enzyme, catalytic domain
JW2409	ECK2411	b2416	ptsI	ptsI	ctr	90	0.5	32													63.5	4.7	t	PEP-protein phosphotransferase of PTS system (enzyme I)	Cytoplasmic		47831; Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain 51621; Phosphoenolpyruvate/pyruvate domain 52009; Phosphohistidine domain
JW2449	ECK2460	b2465	tktB	tktB		11	0.9	64	14.21	32.92	19.93	68.69	0.51	0.607	0.663	0.736	37.23	44.27	48.39	53.69	72.969	6.13	e	transketolase 2, thiamin-binding	Cytoplasmic		52518; Thiamin diphosphate-binding fold (THDP-binding) 52922; Transketolase C-terminal domain-like
JW2452	ECK2463	b2468	aegA	aegA	yffG	21	0.9	62	33.85	41.94	41.78	74.32	0.588	0.819	0.801	0.838	42.18	58.78	57.53	60.19	71.78	6.58	pe	fused predicted FeS binding subunit predicted NAD/FAD-binding subunit of oxidoreductase	Cytoplasmic		54862; 4Fe-4S ferredoxins 51905; FAD/NAD(P)-binding domain 51971; Nucleotide-binding domain 54862; 4Fe-4S ferredoxins
JW2453	ECK2464	b2469	narQ	narQ		7	0.4	23													63.6	6.6	r	sensory histidine kinase in two-component regulatory system with NarP (NarL)	Integral Membrane Protein		55874; ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
JW2476	ECK2487	b2491	hyfR	hyfR		7	0.6	47	11.78	8.77	27.46	58	0.255	0.538	0.397	0.463	19.21	40.46	29.86	34.83	75.227	6.13	r	DNA-binding transcriptional activator, formate sensing	Cytoplasmic		48283; FIS-like 52540; P-loop containing nucleotide triphosphate hydrolases 55781; GAF domain
JW2486	ECK2497	b2501	ppk	ppk		8	0.2	20	7.17	14.73	60.17	61.88	0.273	0.264	0.251	0.308	21.94	21.2	20.18	24.77	80.363	9.47	e	polyphosphate kinase, component of RNA degradosome	Cytoplasmic		56024; Phospholipase D/nuclease
JW2487	ECK2498	b2502	ppx	ppx		47	1.3	77													58.1	7.2	e	exopolyphosphatase	Cytoplasmic		
JW5401	ECK2504	b2508	guaB	guaB	guaR	49	0.2	10													52	6.5	e	IMP dehydrogenase	Cytoplasmic		51412; Inosine monophosphate dehydrogenase (IMPDH) 54631; CBS-domain
JW5403	ECK2507	b2511	der	der	engA -!- yfgK	66	0.5	30													55	6.1	pf	predicted GTP-binding protein	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2510	ECK2523	b2526	hscA	hscA	hsc	102	0.8	51													65.6	5.1	f	DnaK-like molecular chaperone specific for IscU	Cytoplasmic		53067; Actin-like ATPase domain 56778; Heat shock protein 70kD (HSP70), C-terminal, substrate-binding fragment
JW2531	ECK2544	b2547	yphE	yphE		5	1.3	73	8.86	22.21	18.32	93.71	0.988	0.98	1.113	1.029	54.3	53.86	61.17	56.52	54.951	6	pt	fused predicted sugar transporter subunits ATP-binding components of ABC superfamily	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases 52540; P-loop containing nucleotide triphosphate hydrolases
JW2558	ECK2572	b2574	nadB	nadB	nic -!- nicB	20	0.3	17	29.32	43.73	81.63	97.49	0.294	0.369	0.369	0.356	17.73	22.24	22.23	21.49	60.279	6.17	e	quinolinate synthase, L-aspartate oxidase (B protein) subunit	Cytoplasmic	1CHU	46977; Succinate dehydrogenase/fumarate reductase C-terminal domain 51905; FAD/NAD(P)-binding domain 56425; Succinate dehydrogenase/fumarate reductase catalytic domain
JW5416	ECK2612	b2616	recN	recN	radB	13	0.8	48	11.56	24.5	21.06	52.61	0.812	0.918	1.239	1.204	49.81	56.27	75.96	73.85	61.325	5.61	cp	recombination and repair protein	Cytoplasmic		52540; P-loop containing nucleoside triphosphate hydrolases
JW2609	ECK2624	b2628	yfjL	yfjL		17	0.3	22	11.82	36.6	35.1	113.72	0.328	0.283	0.274	0.129	20.34	17.52	16.95	7.97	61.937	5.9	h	CP4-57 prophage; predicted protein	Cytoplasmic		
JW2663	ECK2683	b2688	gshA	gshA	gsh-I -!- gshI	26	0.4	23	27.86	70.42	68.21	99.74	0.326	0.274	0.332	0.231	18.99	15.97	19.34	13.46	58.197	5.64	e	gamma-glutamate-cysteine ligase	Cytoplasmic		
JW5429	ECK2697	b2702	srlA	srlA	gutA -!- sbl -!- srlA_1	17	1.5	32													20.6	8.8	t	glucitol/sorbitol-specific enzyme IIC component of PTS	Integral Membrane Protein		
JW2691	ECK2716	b2721	hycE	hycE	hevE	7	0.4	28	13.49	38.01	121.33	105.3	0.336	0.402	0.394	0.362	21.78	26.08	25.6	23.5	64.914	6.55	e	hydrogenase 3, large subunit	Cytoplasmic		56762; Nickel-iron hydrogenase, large subunit
JW2701	ECK2726	b2731	fhlA	fhlA	fhl	10	0.3	20	3.26	6.42	19.93	75.93	0.349	0.318	0.344	0.303	27.33	24.91	26.92	23.72	78.374	5.68	r	DNA-binding transcriptional activator	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases 55781; GAF domain
JW2730	ECK2755	b2760	ygcL	ygcL	ygcL	10	0.3	17	15.48	33.58	83.89	93.24	0.189	0.174	0.199	0.195	10.58	9.71	11.1	10.91	55.856	8.25	o	predicted protein	Cytoplasmic		
JW2733	ECK2758	b2763	cysI	cysI	cysQ	38	1.1	73													63.9	7.8	e	sulfite reductase, beta subunit, NAD(P)-binding	Cytoplasmic		55124; Sulfite reductase, domains 1 and 3 56014; Sulfite reductase hemoprotein (SiRHP), domains 2 and 4
JW2734	ECK2759	b2764	cysJ	cysJ	cysP	24	0.7	48	22.09	45.05	27.41	55.82	0.739	0.577	0.644	0.746	48.88	38.18	42.63	49.34	66.179	4.94	e	sulfite reductase, alpha subunit, flavoprotein	Cytoplasmic		52218; Flavoproteins 52343; Ferredoxin reductase-like, C-terminal NADP-linked domain 63380; Riboflavin synthase domain-like
JW2751	ECK2774	b2780	pyrG	pyrG		77	0.5	31													60.3	6	e	CTP synthetase	Cytoplasmic	1S1M	52317; Class I glutamine amidotransferase-like 52540; P-loop containing nucleotide triphosphate hydrolases
JW2773	ECK2797	b2802	fucI	fucI		36	0.4	26													64.9	6	e	L-fucose isomerase	Cytoplasmic	1FUI	50443; L-fucose isomerase, C-terminal domain 53743; L-fucose isomerase, N-terminal and second domains
JW2787	ECK2815	b2819	recD	recD	hopE	15	0.8	54	16.91	26.92	73	74.01	0.8	0.664	0.682	0.68	53.46	44.39	45.59	45.46	66.84	6.97	e	exonuclease V (RecBCD complex), alpha chain	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW2837	ECK2865	b2869	ygeV	ygeV		10	0.6	41	13.07	24.45	38.34	73.1	0.575	0.474	0.602	0.741	37.94	31.28	39.75	48.91	66.029	6.44	pr	predicted DNA-binding transcriptional regulator	Cytoplasmic		48283; FIS-like 52540; P-loop containing nucleotide triphosphate hydrolases 55781; GAF domain 55785; PYP-like sensor domain
JW2843	ECK2871	b2875	yqeB	yqeB		18	1.1	61	18.1	38.01	34.52	50.28	0.888	0.569	0.773	0.914	51.19	32.77	44.53	52.67	57.625	6.78	d	conserved protein with NAD(P)-binding Rossman fold	Cytoplasmic		51230; Single hybrid motif 51735; NAD(P)-binding Rossmann-fold domains
JW5469	ECK2882	b2887	ygfT	ygfT		25	0.4	29	21.88	60.54	68.02	88	0.463	0.3	0.421	0.546	31.97	20.72	29.04	37.66	69.017	6.27	pe	fused predicted oxidoreductase Fe-S subunit nucleotide-binding subunit	Cytoplasmic		54862; 4Fe-4S ferredoxins 51971; Nucleotide-binding domain
JW2884	ECK2913	b2917	yliK	yliK	sbm	17	0.4	35	21.76	58.37	45.58	96.79	0.366	0.289	0.332	0.372	28.43	22.44	25.83	28.95	77.771	5.14	e	methylmalonyl-CoA mutase	Cytoplasmic		51703; Cobalamin (vitamin B12)-dependent enzymes 52242; Cobalamin (vitamin B12)-binding domain
JW5478	ECK2930	b2935	tktA	tktA	tkt	32	0.6	45													72.1	5.7	e	transketolase 1, thiamin-binding	Cytoplasmic	1QGD	52518; Thiamin diphosphate-binding fold (THDP-binding) 52922; Transketolase C-terminal domain-like
